623529开头的银行卡是中国银联支付标记借记卡 623529开头的银行卡号数字长度为19位 如：623529xxxxxxxxxxxxx
621676019开头的银行卡是曲靖宣威长江村镇银行借记卡 621676019开头的银行卡号数字长度为19位 如：621676019xxxxxxxxxx
621676020开头的银行卡是曲靖会泽长江村镇银行借记卡 621676020开头的银行卡号数字长度为19位 如：621676020xxxxxxxxxx
621676018开头的银行卡是西双版纳勐海长江村镇银行借记卡 621676018开头的银行卡号数字长度为19位 如：621676018xxxxxxxxxx
621676016开头的银行卡是丽水永胜长江村镇银行借记卡 621676016开头的银行卡号数字长度为19位 如：621676016xxxxxxxxxx
621676017开头的银行卡是丽江玉龙长江村镇银行借记卡 621676017开头的银行卡号数字长度为19位 如：621676017xxxxxxxxxx
621678105开头的银行卡是浙江上虞富民村镇银行借记卡 621678105开头的银行卡号数字长度为19位 如：621678105xxxxxxxxxx
621678101开头的银行卡是浙江遂昌富民村镇银行借记卡 621678101开头的银行卡号数字长度为19位 如：621678101xxxxxxxxxx
621678106开头的银行卡是浙江台州路桥富民村镇银行借记卡 621678106开头的银行卡号数字长度为19位 如：621678106xxxxxxxxxx
621678001开头的银行卡是萍乡安源富民村镇银行借记卡 621678001开头的银行卡号数字长度为19位 如：621678001xxxxxxxxxx
621678002开头的银行卡是江西上栗富民村镇银行借记卡 621678002开头的银行卡号数字长度为19位 如：621678002xxxxxxxxxx
621678208开头的银行卡是贵阳乌当富民村镇银行借记卡 621678208开头的银行卡号数字长度为19位 如：621678208xxxxxxxxxx
621678213开头的银行卡是开阳富民村镇银行借记卡 621678213开头的银行卡号数字长度为19位 如：621678213xxxxxxxxxx
621678207开头的银行卡是贵阳观山湖富民村镇银行借记卡 621678207开头的银行卡号数字长度为19位 如：621678207xxxxxxxxxx
621678209开头的银行卡是贵阳云岩富民村镇银行借记卡 621678209开头的银行卡号数字长度为19位 如：621678209xxxxxxxxxx
621678211开头的银行卡是贵阳南明富民村镇银行借记卡 621678211开头的银行卡号数字长度为19位 如：621678211xxxxxxxxxx
621678212开头的银行卡是遵义红花岗富民村镇银行借记卡 621678212开头的银行卡号数字长度为19位 如：621678212xxxxxxxxxx
621678202开头的银行卡是大方富民村镇银行借记卡 621678202开头的银行卡号数字长度为19位 如：621678202xxxxxxxxxx
621678201开头的银行卡是金沙富民村镇银行借记卡 621678201开头的银行卡号数字长度为19位 如：621678201xxxxxxxxxx
621678203开头的银行卡是纳雍富民村镇银行借记卡 621678203开头的银行卡号数字长度为19位 如：621678203xxxxxxxxxx
621678205开头的银行卡是威宁富民村镇银行借记卡 621678205开头的银行卡号数字长度为19位 如：621678205xxxxxxxxxx
621678206开头的银行卡是赫章富民村镇银行借记卡 621678206开头的银行卡号数字长度为19位 如：621678206xxxxxxxxxx
621678210开头的银行卡是安顺西秀富民村镇银行借记卡 621678210开头的银行卡号数字长度为19位 如：621678210xxxxxxxxxx
621678215开头的银行卡是福泉富民村镇银行借记卡 621678215开头的银行卡号数字长度为19位 如：621678215xxxxxxxxxx
621680002开头的银行卡是张家港渝农商村镇银行借记卡 621680002开头的银行卡号数字长度为16位 如：621680002xxxxxxx
621680102开头的银行卡是张家港渝农商村镇银行借记卡 621680102开头的银行卡号数字长度为16位 如：621680102xxxxxxx
621680007开头的银行卡是福建平潭渝农商村镇银行借记卡 621680007开头的银行卡号数字长度为16位 如：621680007xxxxxxx
621680107开头的银行卡是福建平潭渝农商村镇银行借记卡 621680107开头的银行卡号数字长度为16位 如：621680107xxxxxxx
621680009开头的银行卡是福建沙县渝农商村镇银行借记卡 621680009开头的银行卡号数字长度为16位 如：621680009xxxxxxx
621680109开头的银行卡是福建沙县渝农商村镇银行借记卡 621680109开头的银行卡号数字长度为16位 如：621680109xxxxxxx
621680010开头的银行卡是福建福安渝农商村镇银行借记卡 621680010开头的银行卡号数字长度为16位 如：621680010xxxxxxx
621680110开头的银行卡是福建福安渝农商村镇银行借记卡 621680110开头的银行卡号数字长度为16位 如：621680110xxxxxxx
621680005开头的银行卡是广西鹿寨渝农商村镇银行借记卡 621680005开头的银行卡号数字长度为16位 如：621680005xxxxxxx
621680105开头的银行卡是广西鹿寨渝农商村镇银行借记卡 621680105开头的银行卡号数字长度为16位 如：621680105xxxxxxx
621680003开头的银行卡是大竹渝农商村镇银行借记卡 621680003开头的银行卡号数字长度为16位 如：621680003xxxxxxx
621680103开头的银行卡是大竹渝农商村镇银行借记卡 621680103开头的银行卡号数字长度为16位 如：621680103xxxxxxx
621680004开头的银行卡是云南大理渝农商村镇银行借记卡 621680004开头的银行卡号数字长度为16位 如：621680004xxxxxxx
621680104开头的银行卡是云南大理渝农商村镇银行借记卡 621680104开头的银行卡号数字长度为16位 如：621680104xxxxxxx
621680006开头的银行卡是云南祥云渝农商村镇银行借记卡 621680006开头的银行卡号数字长度为16位 如：621680006xxxxxxx
621680106开头的银行卡是云南祥云渝农商村镇银行借记卡 621680106开头的银行卡号数字长度为16位 如：621680106xxxxxxx
621680008开头的银行卡是云南鹤庆渝农商村镇银行借记卡 621680008开头的银行卡号数字长度为16位 如：621680008xxxxxxx
621680108开头的银行卡是云南鹤庆渝农商村镇银行借记卡 621680108开头的银行卡号数字长度为16位 如：621680108xxxxxxx
621680011开头的银行卡是云南香格里拉渝农商村镇银行借记卡 621680011开头的银行卡号数字长度为16位 如：621680011xxxxxxx
621680111开头的银行卡是云南香格里拉渝农商村镇银行借记卡 621680111开头的银行卡号数字长度为16位 如：621680111xxxxxxx
621681001开头的银行卡是沈阳于洪永安村镇银行借记卡 621681001开头的银行卡号数字长度为18位 如：621681001xxxxxxxxx
621681002开头的银行卡是辽宁彰武金通村镇银行股份有限公司借记卡 621681002开头的银行卡号数字长度为18位 如：621681002xxxxxxxxx
621681003开头的银行卡是铁岭农商村镇银行借记卡 621681003开头的银行卡号数字长度为18位 如：621681003xxxxxxxxx
621682002开头的银行卡是北京房山沪农商村镇银行借记卡 621682002开头的银行卡号数字长度为19位 如：621682002xxxxxxxxxx
621682101开头的银行卡是济南长清沪农商村镇银行借记卡 621682101开头的银行卡号数字长度为19位 如：621682101xxxxxxxxxx
621682803开头的银行卡是济南长清沪农商村镇银行借记卡 621682803开头的银行卡号数字长度为19位 如：621682803xxxxxxxxxx
621682102开头的银行卡是济南槐荫沪农商村镇银行借记卡 621682102开头的银行卡号数字长度为19位 如：621682102xxxxxxxxxx
621682106开头的银行卡是泰安沪农商村镇银行借记卡 621682106开头的银行卡号数字长度为19位 如：621682106xxxxxxxxxx
621682103开头的银行卡是宁阳沪农商村镇银行借记卡 621682103开头的银行卡号数字长度为19位 如：621682103xxxxxxxxxx
621682105开头的银行卡是东平沪农商村镇银行借记卡 621682105开头的银行卡号数字长度为19位 如：621682105xxxxxxxxxx
621682110开头的银行卡是聊城沪农商村镇银行借记卡 621682110开头的银行卡号数字长度为19位 如：621682110xxxxxxxxxx
621682111开头的银行卡是临清沪农商村镇银行借记卡 621682111开头的银行卡号数字长度为19位 如：621682111xxxxxxxxxx
621682109开头的银行卡是阳谷沪农商村镇银行借记卡 621682109开头的银行卡号数字长度为19位 如：621682109xxxxxxxxxx
621682108开头的银行卡是茌平沪农商村镇银行借记卡 621682108开头的银行卡号数字长度为19位 如：621682108xxxxxxxxxx
621682107开头的银行卡是日照沪农商村镇银行借记卡 621682107开头的银行卡号数字长度为19位 如：621682107xxxxxxxxxx
621682202开头的银行卡是长沙星沙沪农商村镇银行借记卡 621682202开头的银行卡号数字长度为19位 如：621682202xxxxxxxxxx
621682201开头的银行卡是宁乡沪农商行村镇银行借记卡 621682201开头的银行卡号数字长度为19位 如：621682201xxxxxxxxxx
621682203开头的银行卡是醴陵沪农商村镇银行借记卡 621682203开头的银行卡号数字长度为19位 如：621682203xxxxxxxxxx
621682205开头的银行卡是衡阳沪农商村镇银行借记卡 621682205开头的银行卡号数字长度为19位 如：621682205xxxxxxxxxx
621682209开头的银行卡是澧县沪农商村镇银行借记卡 621682209开头的银行卡号数字长度为19位 如：621682209xxxxxxxxxx
621682208开头的银行卡是临澧沪农商村镇银行借记卡 621682208开头的银行卡号数字长度为19位 如：621682208xxxxxxxxxx
621682210开头的银行卡是石门沪农商村镇银行借记卡 621682210开头的银行卡号数字长度为19位 如：621682210xxxxxxxxxx
621682213开头的银行卡是慈利沪农商村镇银行借记卡 621682213开头的银行卡号数字长度为19位 如：621682213xxxxxxxxxx
621682211开头的银行卡是涟源沪农商村镇银行借记卡 621682211开头的银行卡号数字长度为19位 如：621682211xxxxxxxxxx
621682212开头的银行卡是双峰沪农商村镇银行借记卡 621682212开头的银行卡号数字长度为19位 如：621682212xxxxxxxxxx
621682207开头的银行卡是桂阳沪农商村镇银行借记卡 621682207开头的银行卡号数字长度为19位 如：621682207xxxxxxxxxx
621682206开头的银行卡是永兴沪农商村镇银行借记卡 621682206开头的银行卡号数字长度为19位 如：621682206xxxxxxxxxx
621682003开头的银行卡是深圳光明沪农商村镇银行借记卡 621682003开头的银行卡号数字长度为19位 如：621682003xxxxxxxxxx
621682301开头的银行卡是阿拉沪农商村镇银行借记卡 621682301开头的银行卡号数字长度为19位 如：621682301xxxxxxxxxx
621682302开头的银行卡是嵩明沪农商村镇银行借记卡 621682302开头的银行卡号数字长度为19位 如：621682302xxxxxxxxxx
621682305开头的银行卡是个旧沪农商村镇银行借记卡 621682305开头的银行卡号数字长度为19位 如：621682305xxxxxxxxxx
621682307开头的银行卡是开远沪农商村镇银行借记卡 621682307开头的银行卡号数字长度为19位 如：621682307xxxxxxxxxx
621682306开头的银行卡是蒙自沪农商村镇银行借记卡 621682306开头的银行卡号数字长度为19位 如：621682306xxxxxxxxxx
621682309开头的银行卡是建水沪农商村镇银行借记卡 621682309开头的银行卡号数字长度为19位 如：621682309xxxxxxxxxx
621682308开头的银行卡是弥勒沪农商村镇银行借记卡 621682308开头的银行卡号数字长度为19位 如：621682308xxxxxxxxxx
621682310开头的银行卡是保山隆阳沪农商村镇银行借记卡 621682310开头的银行卡号数字长度为19位 如：621682310xxxxxxxxxx
621682303开头的银行卡是瑞丽沪农商村镇银行借记卡 621682303开头的银行卡号数字长度为19位 如：621682303xxxxxxxxxx
621682830开头的银行卡是瑞丽沪农商村镇银行借记卡 621682830开头的银行卡号数字长度为19位 如：621682830xxxxxxxxxx
621682311开头的银行卡是临沧临翔沪农商村镇银行借记卡 621682311开头的银行卡号数字长度为19位 如：621682311xxxxxxxxxx
621685701开头的银行卡是广东澄海潮商村镇银行借记卡 621685701开头的银行卡号数字长度为19位 如：621685701xxxxxxxxxx
621685702开头的银行卡是广东普宁汇成村镇银行借记卡 621685702开头的银行卡号数字长度为19位 如：621685702xxxxxxxxxx
621687913开头的银行卡是宝丰豫丰村镇银行借记卡 621687913开头的银行卡号数字长度为18位 如：621687913xxxxxxxxx
621687001开头的银行卡是灵宝融丰村镇银行借记卡 621687001开头的银行卡号数字长度为19位 如：621687001xxxxxxxxxx
62169301开头的银行卡是丹东鼎元村镇银行借记卡 62169301开头的银行卡号数字长度为19位 如：62169301xxxxxxxxxxx
62169302开头的银行卡是丹东鼎安村镇银行借记卡 62169302开头的银行卡号数字长度为19位 如：62169302xxxxxxxxxxx
62169303开头的银行卡是丹东福汇村镇银行借记卡 62169303开头的银行卡号数字长度为19位 如：62169303xxxxxxxxxxx
62169502开头的银行卡是中牟郑银村镇银行借记卡 62169502开头的银行卡号数字长度为19位 如：62169502xxxxxxxxxxx
62169501开头的银行卡是新密郑银村镇银行借记卡 62169501开头的银行卡号数字长度为19位 如：62169501xxxxxxxxxxx
62169503开头的银行卡是鄢陵郑银村镇银行借记卡 62169503开头的银行卡号数字长度为19位 如：62169503xxxxxxxxxxx
62352801开头的银行卡是安徽五河永泰村镇银行借记卡 62352801开头的银行卡号数字长度为19位 如：62352801xxxxxxxxxxx
621697813开头的银行卡是天津华明村镇银行借记卡 621697813开头的银行卡号数字长度为18位 如：621697813xxxxxxxxx
62169757开头的银行卡是天津宁河村镇银行借记卡 62169757开头的银行卡号数字长度为18位 如：62169757xxxxxxxxxx
621697793开头的银行卡是任丘村镇银行借记卡 621697793开头的银行卡号数字长度为18位 如：621697793xxxxxxxxx
621697873开头的银行卡是芜湖泰寿村镇银行借记卡 621697873开头的银行卡号数字长度为18位 如：621697873xxxxxxxxx
62169716开头的银行卡是山东兰陵村镇银行股份有限公司借记卡 62169716开头的银行卡号数字长度为18位 如：62169716xxxxxxxxxx
62311703开头的银行卡是尉氏合益村镇银行借记卡 62311703开头的银行卡号数字长度为18位 如：62311703xxxxxxxxxx
62311702开头的银行卡是开封新东方村镇银行借记卡 62311702开头的银行卡号数字长度为19位 如：62311702xxxxxxxxxxx
62311701开头的银行卡是长葛轩辕村镇银行借记卡 62311701开头的银行卡号数字长度为18位 如：62311701xxxxxxxxxx
62312201开头的银行卡是海南儋州绿色村镇银行借记卡 62312201开头的银行卡号数字长度为19位 如：62312201xxxxxxxxxxx
62317502开头的银行卡是楚雄兴彝村镇银行借记卡 62317502开头的银行卡号数字长度为19位 如：62317502xxxxxxxxxxx
62317501开头的银行卡是玉溪红塔区兴和村镇银行借记卡 62317501开头的银行卡号数字长度为19位 如：62317501xxxxxxxxxxx
621689007开头的银行卡是从化柳银村镇银行借记卡 621689007开头的银行卡号数字长度为18位 如：621689007xxxxxxxxx
621689001开头的银行卡是柳江柳银村镇银行借记卡 621689001开头的银行卡号数字长度为18位 如：621689001xxxxxxxxx
621689002开头的银行卡是融水柳银村镇银行借记卡 621689002开头的银行卡号数字长度为18位 如：621689002xxxxxxxxx
621689004开头的银行卡是北流柳银村镇银行借记卡 621689004开头的银行卡号数字长度为18位 如：621689004xxxxxxxxx
621689005开头的银行卡是陆川柳银村镇银行借记卡 621689005开头的银行卡号数字长度为18位 如：621689005xxxxxxxxx
621689006开头的银行卡是博白柳银村镇银行借记卡 621689006开头的银行卡号数字长度为18位 如：621689006xxxxxxxxx
621689003开头的银行卡是兴业柳银村镇银行借记卡 621689003开头的银行卡号数字长度为18位 如：621689003xxxxxxxxx
621380001开头的银行卡是遂平恒生村镇银行借记卡 621380001开头的银行卡号数字长度为19位 如：621380001xxxxxxxxxx
621387973开头的银行卡是浙江兰溪越商村镇银行借记卡 621387973开头的银行卡号数字长度为18位 如：621387973xxxxxxxxx
621381001开头的银行卡是韶山光大村镇银行借记卡 621381001开头的银行卡号数字长度为19位 如：621381001xxxxxxxxxx
621382019开头的银行卡是北京昌平兆丰村镇银行借记卡 621382019开头的银行卡号数字长度为19位 如：621382019xxxxxxxxxx
621382018开头的银行卡是天津津南村镇银行借记卡 621382018开头的银行卡号数字长度为19位 如：621382018xxxxxxxxxx
621382020开头的银行卡是清徐惠民村镇银行借记卡 621382020开头的银行卡号数字长度为19位 如：621382020xxxxxxxxxx
621382001开头的银行卡是固阳包商惠农村镇银行借记卡 621382001开头的银行卡号数字长度为19位 如：621382001xxxxxxxxxx
621382002开头的银行卡是宁城包商村镇银行借记卡 621382002开头的银行卡号数字长度为19位 如：621382002xxxxxxxxxx
621382006开头的银行卡是莫力达瓦包商村镇银行借记卡 621382006开头的银行卡号数字长度为19位 如：621382006xxxxxxxxxx
621382005开头的银行卡是鄂温克旗包商村镇银行借记卡 621382005开头的银行卡号数字长度为19位 如：621382005xxxxxxxxxx
621382010开头的银行卡是科尔沁包商村镇银行借记卡 621382010开头的银行卡号数字长度为19位 如：621382010xxxxxxxxxx
621382009开头的银行卡是西乌珠穆沁包商惠丰村镇银行借记卡 621382009开头的银行卡号数字长度为19位 如：621382009xxxxxxxxxx
621382007开头的银行卡是集宁包商村镇银行借记卡 621382007开头的银行卡号数字长度为19位 如：621382007xxxxxxxxxx
621382008开头的银行卡是化德包商村镇银行借记卡 621382008开头的银行卡号数字长度为19位 如：621382008xxxxxxxxxx
621382003开头的银行卡是准格尔旗包商村镇银行借记卡 621382003开头的银行卡号数字长度为19位 如：621382003xxxxxxxxxx
621382004开头的银行卡是乌审旗包商村镇银行借记卡 621382004开头的银行卡号数字长度为19位 如：621382004xxxxxxxxxx
621382025开头的银行卡是大连金州联丰村镇银行借记卡 621382025开头的银行卡号数字长度为19位 如：621382025xxxxxxxxxx
621382013开头的银行卡是九台龙嘉村镇银行借记卡 621382013开头的银行卡号数字长度为19位 如：621382013xxxxxxxxxx
621382017开头的银行卡是江苏南通如皋包商村镇银行借记卡 621382017开头的银行卡号数字长度为19位 如：621382017xxxxxxxxxx
621382021开头的银行卡是仪征包商村镇银行借记卡 621382021开头的银行卡号数字长度为19位 如：621382021xxxxxxxxxx
621382023开头的银行卡是鄄城包商村镇银行借记卡 621382023开头的银行卡号数字长度为19位 如：621382023xxxxxxxxxx
621382015开头的银行卡是漯河市郾城包商村镇银行借记卡 621382015开头的银行卡号数字长度为19位 如：621382015xxxxxxxxxx
621382016开头的银行卡是掇刀包商村镇银行借记卡 621382016开头的银行卡号数字长度为19位 如：621382016xxxxxxxxxx
621382012开头的银行卡是武冈包商村镇银行借记卡 621382012开头的银行卡号数字长度为19位 如：621382012xxxxxxxxxx
621382014开头的银行卡是新都桂城村镇银行借记卡 621382014开头的银行卡号数字长度为19位 如：621382014xxxxxxxxxx
621382024开头的银行卡是广元包商贵民村镇银行借记卡 621382024开头的银行卡号数字长度为19位 如：621382024xxxxxxxxxx
621382027开头的银行卡是贵阳花溪建设村镇银行借记卡 621382027开头的银行卡号数字长度为19位 如：621382027xxxxxxxxxx
621382011开头的银行卡是息烽包商黔隆村镇银行借记卡 621382011开头的银行卡号数字长度为19位 如：621382011xxxxxxxxxx
621382022开头的银行卡是毕节发展村镇银行借记卡 621382022开头的银行卡号数字长度为19位 如：621382022xxxxxxxxxx
621382026开头的银行卡是宁夏贺兰回商村镇银行借记卡 621382026开头的银行卡号数字长度为19位 如：621382026xxxxxxxxxx
62319563开头的银行卡是浙江泰顺温银村镇银行借记卡 62319563开头的银行卡号数字长度为18位 如：62319563xxxxxxxxxx
621383001开头的银行卡是辽宁大石桥隆丰村镇银行借记卡 621383001开头的银行卡号数字长度为19位 如：621383001xxxxxxxxxx
621383002开头的银行卡是辽宁辰州汇通村镇银行股份有限公司借记卡 621383002开头的银行卡号数字长度为19位 如：621383002xxxxxxxxxx
621385663开头的银行卡是内江兴隆村镇银行借记卡 621385663开头的银行卡号数字长度为18位 如：621385663xxxxxxxxx
62316904开头的银行卡是枞阳泰业村镇银行借记卡 62316904开头的银行卡号数字长度为19位 如：62316904xxxxxxxxxxx
62316905开头的银行卡是东源泰业村镇银行借记卡 62316905开头的银行卡号数字长度为19位 如：62316905xxxxxxxxxxx
62316902开头的银行卡是东莞长安村镇银行借记卡 62316902开头的银行卡号数字长度为19位 如：62316902xxxxxxxxxxx
62316903开头的银行卡是灵山泰业村镇银行借记卡 62316903开头的银行卡号数字长度为19位 如：62316903xxxxxxxxxxx
62316901开头的银行卡是开县泰业村镇银行借记卡 62316901开头的银行卡号数字长度为19位 如：62316901xxxxxxxxxxx
62316906开头的银行卡是东莞厚街华业村镇银行借记卡 62316906开头的银行卡号数字长度为19位 如：62316906xxxxxxxxxxx
621265001开头的银行卡是萍乡湘东黄海村镇银行借记卡 621265001开头的银行卡号数字长度为19位 如：621265001xxxxxxxxxx
62127852开头的银行卡是滨海惠民村镇银行借记卡 62127852开头的银行卡号数字长度为18位 如：62127852xxxxxxxxxx
62127834开头的银行卡是文安县惠民村镇银行股份有限公司借记卡 62127834开头的银行卡号数字长度为18位 如：62127834xxxxxxxxxx
62127843开头的银行卡是廊坊市安次区惠民村镇银行借记卡 62127843开头的银行卡号数字长度为18位 如：62127843xxxxxxxxxx
621278193开头的银行卡是安平惠民村镇银行借记卡 621278193开头的银行卡号数字长度为18位 如：621278193xxxxxxxxx
621278293开头的银行卡是长春高新惠民村镇银行借记卡 621278293开头的银行卡号数字长度为18位 如：621278293xxxxxxxxx
62127825开头的银行卡是长春南关惠民村镇银行借记卡 62127825开头的银行卡号数字长度为18位 如：62127825xxxxxxxxxx
621278503开头的银行卡是桦甸惠民村镇银行借记卡 621278503开头的银行卡号数字长度为18位 如：621278503xxxxxxxxx
62127839开头的银行卡是吉林丰满惠民村镇银行借记卡 62127839开头的银行卡号数字长度为18位 如：62127839xxxxxxxxxx
62127823开头的银行卡是大安惠民村镇银行借记卡 62127823开头的银行卡号数字长度为19位 如：62127823xxxxxxxxxxx
62127822开头的银行卡是乾安惠民村镇银行借记卡 62127822开头的银行卡号数字长度为18位 如：62127822xxxxxxxxxx
62127821开头的银行卡是松原宁江惠民村镇银行借记卡 62127821开头的银行卡号数字长度为19位 如：62127821xxxxxxxxxxx
62127828开头的银行卡是双城惠民村镇银行有限责任公司借记卡 62127828开头的银行卡号数字长度为18位 如：62127828xxxxxxxxxx
62127820开头的银行卡是五常惠民村镇银行借记卡 62127820开头的银行卡号数字长度为18位 如：62127820xxxxxxxxxx
62127836开头的银行卡是庐江惠民村镇银行借记卡 62127836开头的银行卡号数字长度为18位 如：62127836xxxxxxxxxx
62127837开头的银行卡是含山惠民村镇银行借记卡 62127837开头的银行卡号数字长度为18位 如：62127837xxxxxxxxxx
62127831开头的银行卡是青岛平度惠民村镇银行借记卡 62127831开头的银行卡号数字长度为18位 如：62127831xxxxxxxxxx
62127855开头的银行卡是荆门东宝惠民村镇银行借记卡 62127855开头的银行卡号数字长度为18位 如：62127855xxxxxxxxxx
621278333开头的银行卡是通城惠民村镇银行借记卡 621278333开头的银行卡号数字长度为18位 如：621278333xxxxxxxxx
62127810开头的银行卡是广州萝岗惠民村镇银行借记卡 62127810开头的银行卡号数字长度为18位 如：62127810xxxxxxxxxx
62127816开头的银行卡是雷州惠民村镇银行借记卡 62127816开头的银行卡号数字长度为18位 如：62127816xxxxxxxxxx
62127817开头的银行卡是惠东惠民村镇银行借记卡 62127817开头的银行卡号数字长度为18位 如：62127817xxxxxxxxxx
62127812开头的银行卡是五华惠民村镇银行借记卡 62127812开头的银行卡号数字长度为18位 如：62127812xxxxxxxxxx
62127815开头的银行卡是清远清新惠民村镇银行借记卡 62127815开头的银行卡号数字长度为18位 如：62127815xxxxxxxxxx
62127813开头的银行卡是云安惠民村镇银行借记卡 62127813开头的银行卡号数字长度为18位 如：62127813xxxxxxxxxx
62127818开头的银行卡是合阳惠民村镇银行借记卡 62127818开头的银行卡号数字长度为18位 如：62127818xxxxxxxxxx
62138402开头的银行卡是青县青隆村镇银行借记卡 62138402开头的银行卡号数字长度为19位 如：62138402xxxxxxxxxxx
62138404开头的银行卡是东光青隆村镇银行借记卡 62138404开头的银行卡号数字长度为19位 如：62138404xxxxxxxxxxx
62138403开头的银行卡是黄骅青隆村镇银行借记卡 62138403开头的银行卡号数字长度为19位 如：62138403xxxxxxxxxxx
62138401开头的银行卡是沧州市运河青隆村镇银行借记卡 62138401开头的银行卡号数字长度为19位 如：62138401xxxxxxxxxxx
621384001开头的银行卡是山东邹平青隆村镇银行借记卡 621384001开头的银行卡号数字长度为19位 如：621384001xxxxxxxxxx
621368001开头的银行卡是山东莒南村镇银行借记卡 621368001开头的银行卡号数字长度为19位 如：621368001xxxxxxxxxx
621386002开头的银行卡是江苏海安盐海村镇银行借记卡 621386002开头的银行卡号数字长度为19位 如：621386002xxxxxxxxxx
621386001开头的银行卡是武陟射阳村镇银行借记卡 621386001开头的银行卡号数字长度为19位 如：621386001xxxxxxxxxx
621386003开头的银行卡是河南沁阳江南村镇银行借记卡 621386003开头的银行卡号数字长度为19位 如：621386003xxxxxxxxxx
621386004开头的银行卡是孟州射阳村镇银行借记卡 621386004开头的银行卡号数字长度为19位 如：621386004xxxxxxxxxx
621699002开头的银行卡是锦州太和益民村镇银行借记卡 621699002开头的银行卡号数字长度为19位 如：621699002xxxxxxxxxx
621699001开头的银行卡是锦州北镇益民村镇银行借记卡 621699001开头的银行卡号数字长度为19位 如：621699001xxxxxxxxxx
621699005开头的银行卡是辽宁黑山锦行村镇银行借记卡 621699005开头的银行卡号数字长度为19位 如：621699005xxxxxxxxxx
621699003开头的银行卡是辽宁义县祥和村镇银行借记卡 621699003开头的银行卡号数字长度为19位 如：621699003xxxxxxxxxx
623601001开头的银行卡是哈密天山村镇银行借记卡 623601001开头的银行卡号数字长度为19位 如：623601001xxxxxxxxxx
623604001开头的银行卡是南京浦口靖发村镇银行借记卡 623604001开头的银行卡号数字长度为19位 如：623604001xxxxxxxxxx
623678353开头的银行卡是山东临朐聚丰村镇银行借记卡 623678353开头的银行卡号数字长度为18位 如：623678353xxxxxxxxx
62360636开头的银行卡是滦县中成村镇银行借记卡 62360636开头的银行卡号数字长度为19位 如：62360636xxxxxxxxxxx
62360637开头的银行卡是滦南中成村镇银行借记卡 62360637开头的银行卡号数字长度为19位 如：62360637xxxxxxxxxxx
62360634开头的银行卡是定州中成村镇银行借记卡 62360634开头的银行卡号数字长度为19位 如：62360634xxxxxxxxxxx
62360630开头的银行卡是涿州中成村镇银行借记卡 62360630开头的银行卡号数字长度为19位 如：62360630xxxxxxxxxxx
62360632开头的银行卡是望都中成村镇银行借记卡 62360632开头的银行卡号数字长度为19位 如：62360632xxxxxxxxxxx
62360631开头的银行卡是高碑店中成村镇银行借记卡 62360631开头的银行卡号数字长度为19位 如：62360631xxxxxxxxxxx
62360633开头的银行卡是曲阳中成村镇银行借记卡 62360633开头的银行卡号数字长度为19位 如：62360633xxxxxxxxxxx
62360635开头的银行卡是安国中成村镇银行借记卡 62360635开头的银行卡号数字长度为19位 如：62360635xxxxxxxxxxx
62360638开头的银行卡是宣化中成村镇银行借记卡 62360638开头的银行卡号数字长度为19位 如：62360638xxxxxxxxxxx
62360602开头的银行卡是常州新北中成村镇银行借记卡 62360602开头的银行卡号数字长度为19位 如：62360602xxxxxxxxxxx
62360603开头的银行卡是建湖中成村镇银行借记卡 62360603开头的银行卡号数字长度为19位 如：62360603xxxxxxxxxxx
62360629开头的银行卡是扬州广陵中成村镇银行借记卡 62360629开头的银行卡号数字长度为19位 如：62360629xxxxxxxxxxx
62360625开头的银行卡是惠安中成村镇银行借记卡 62360625开头的银行卡号数字长度为19位 如：62360625xxxxxxxxxxx
62360626开头的银行卡是南靖中成村镇银行借记卡 62360626开头的银行卡号数字长度为19位 如：62360626xxxxxxxxxxx
62360628开头的银行卡是浦城中成村镇银行借记卡 62360628开头的银行卡号数字长度为19位 如：62360628xxxxxxxxxxx
62360627开头的银行卡是上杭中成村镇银行借记卡 62360627开头的银行卡号数字长度为19位 如：62360627xxxxxxxxxxx
62360601开头的银行卡是青岛胶州中成村镇银行借记卡 62360601开头的银行卡号数字长度为19位 如：62360601xxxxxxxxxxx
62360620开头的银行卡是东营河口中成村镇银行借记卡 62360620开头的银行卡号数字长度为19位 如：62360620xxxxxxxxxxx
62360622开头的银行卡是奎文中成村镇银行借记卡 62360622开头的银行卡号数字长度为19位 如：62360622xxxxxxxxxxx
62360624开头的银行卡是衮州中成村镇银行借记卡 62360624开头的银行卡号数字长度为19位 如：62360624xxxxxxxxxxx
62360623开头的银行卡是无棣中成村镇银行借记卡 62360623开头的银行卡号数字长度为19位 如：62360623xxxxxxxxxxx
62360621开头的银行卡是莱芜中成村镇银行借记卡 62360621开头的银行卡号数字长度为19位 如：62360621xxxxxxxxxxx
62360600开头的银行卡是自贡中成村镇银行借记卡 62360600开头的银行卡号数字长度为19位 如：62360600xxxxxxxxxxx
62360607开头的银行卡是犍为中成村镇银行借记卡 62360607开头的银行卡号数字长度为19位 如：62360607xxxxxxxxxxx
62360608开头的银行卡是峨嵋山中成村镇银行借记卡 62360608开头的银行卡号数字长度为19位 如：62360608xxxxxxxxxxx
62360605开头的银行卡是长宁中成村镇银行借记卡 62360605开头的银行卡号数字长度为19位 如：62360605xxxxxxxxxxx
